entailment,correlation,p-value
age_64,0.9977817811553027,0.042410913674224074
age_68,0.9977817811553027,0.042410913674224074
age_70,0.9977817811553027,0.042410913674224074
age_39,-0.9977817811553028,0.04241091367422301
age_67,0.9977817811553027,0.042410913674224074
age_29,-0.9977817811553028,0.04241091367422301
age_69,0.9977817811553027,0.042410913674224074
age_74,0.9977817811553027,0.042410913674224074
chol_269,-0.9977817811553028,0.04241091367422301
chol_234,-0.9977817811553028,0.04241091367422301
chol_201,-0.9977817811553028,0.04241091367422301
chol_265,-0.9977817811553028,0.04241091367422301
chol_315,-0.9977817811553028,0.04241091367422301
chol_294,-0.9977817811553028,0.04241091367422301
chol_231,-0.9977817811553028,0.04241091367422301
chol_249,-0.9977817811553028,0.04241091367422301
chol_253,-0.9977817811553028,0.04241091367422301
chol_247,-0.9977817811553028,0.04241091367422301
chol_318,-0.9977817811553028,0.04241091367422301
chol_288,-0.9977817811553028,0.04241091367422301
chol_184,-0.9977817811553028,0.04241091367422301
chol_303,-0.9977817811553028,0.04241091367422301
chol_340,-0.9977817811553028,0.04241091367422301
chol_206,-0.9977817811553028,0.04241091367422301
chol_309,-0.9977817811553028,0.04241091367422301
chol_196,-0.9977817811553028,0.04241091367422301
chol_307,-0.9977817811553028,0.04241091367422301
chol_255,-0.9977817811553028,0.04241091367422301
chol_164,-0.9977817811553028,0.04241091367422301
chol_394,-0.9977817811553028,0.04241091367422301
chol_212,-0.9977817811553028,0.04241091367422301
chol_259,-0.9977817811553028,0.04241091367422301
chol_250,-0.9977817811553028,0.04241091367422301
chol_263,-0.9977817811553028,0.04241091367422301
chol_188,-0.9977817811553028,0.04241091367422301
chol_246,-0.9977817811553028,0.04241091367422301
chol_229,-0.9977817811553028,0.04241091367422301
chol_268,-0.9977817811553028,0.04241091367422301
chol_180,-0.9977817811553028,0.04241091367422301
chol_215,-0.9977817811553028,0.04241091367422301
chol_341,-0.9977817811553028,0.04241091367422301
chol_295,-0.9977817811553028,0.04241091367422301
chol_205,-0.9977817811553028,0.04241091367422301
chol_242,-0.9977817811553028,0.04241091367422301
chol_168,-0.9977817811553028,0.04241091367422301
chol_275,-0.9977817811553028,0.04241091367422301
chol_257,-0.9977817811553028,0.04241091367422301
chol_290,-0.9977817811553028,0.04241091367422301
chol_172,-0.9977817811553028,0.04241091367422301
chol_167,-0.9977817811553028,0.04241091367422301
chol_326,-0.9977817811553028,0.04241091367422301
chol_266,-0.9977817811553028,0.04241091367422301
rbp_108,-0.9977817811553028,0.04241091367422301
cayr_82,0.9977817811553027,0.042410913674224074
age_74,0.9977817811553027,0.042410913674224074
age_70,0.9977817811553027,0.042410913674224074
age_64,0.9977817811553027,0.042410913674224074
age_68,0.9977817811553027,0.042410913674224074
age_69,0.9977817811553027,0.042410913674224074
age_67,0.9977817811553027,0.042410913674224074
cayr_82,0.9977817811553027,0.042410913674224074
age_39,-0.9977817811553028,0.04241091367422301
age_29,-0.9977817811553028,0.04241091367422301
chol_265,-0.9977817811553028,0.04241091367422301
chol_263,-0.9977817811553028,0.04241091367422301
chol_229,-0.9977817811553028,0.04241091367422301
chol_168,-0.9977817811553028,0.04241091367422301
chol_250,-0.9977817811553028,0.04241091367422301
chol_215,-0.9977817811553028,0.04241091367422301
chol_188,-0.9977817811553028,0.04241091367422301
chol_341,-0.9977817811553028,0.04241091367422301
chol_307,-0.9977817811553028,0.04241091367422301
chol_249,-0.9977817811553028,0.04241091367422301
chol_294,-0.9977817811553028,0.04241091367422301
chol_309,-0.9977817811553028,0.04241091367422301
chol_257,-0.9977817811553028,0.04241091367422301
chol_340,-0.9977817811553028,0.04241091367422301
chol_318,-0.9977817811553028,0.04241091367422301
chol_231,-0.9977817811553028,0.04241091367422301
chol_275,-0.9977817811553028,0.04241091367422301
chol_164,-0.9977817811553028,0.04241091367422301
chol_201,-0.9977817811553028,0.04241091367422301
chol_253,-0.9977817811553028,0.04241091367422301
chol_246,-0.9977817811553028,0.04241091367422301
chol_184,-0.9977817811553028,0.04241091367422301
chol_212,-0.9977817811553028,0.04241091367422301
chol_234,-0.9977817811553028,0.04241091367422301
chol_268,-0.9977817811553028,0.04241091367422301
chol_196,-0.9977817811553028,0.04241091367422301
chol_180,-0.9977817811553028,0.04241091367422301
chol_259,-0.9977817811553028,0.04241091367422301
chol_167,-0.9977817811553028,0.04241091367422301
chol_394,-0.9977817811553028,0.04241091367422301
chol_205,-0.9977817811553028,0.04241091367422301
chol_290,-0.9977817811553028,0.04241091367422301
chol_269,-0.9977817811553028,0.04241091367422301
chol_288,-0.9977817811553028,0.04241091367422301
chol_295,-0.9977817811553028,0.04241091367422301
chol_303,-0.9977817811553028,0.04241091367422301
chol_247,-0.9977817811553028,0.04241091367422301
chol_206,-0.9977817811553028,0.04241091367422301
chol_315,-0.9977817811553028,0.04241091367422301
chol_266,-0.9977817811553028,0.04241091367422301
chol_255,-0.9977817811553028,0.04241091367422301
chol_172,-0.9977817811553028,0.04241091367422301
chol_242,-0.9977817811553028,0.04241091367422301
chol_326,-0.9977817811553028,0.04241091367422301
rbp_108,-0.9977817811553028,0.04241091367422301
age_69,0.9977817811553027,0.042410913674224074
age_74,0.9977817811553027,0.042410913674224074
age_67,0.9977817811553027,0.042410913674224074
age_64,0.9977817811553027,0.042410913674224074
age_68,0.9977817811553027,0.042410913674224074
age_70,0.9977817811553027,0.042410913674224074
cayr_82,0.9977817811553027,0.042410913674224074
