S-T,T-ACC,T-AUC,HT-ACC,HT-AUC,HT-ACC-SI,HT-AUC-SI,ST-ACC,ST-AUC,ST-ACC-SI,ST-AUC-SI,ACC-FI,AUC-FI
Switzerland-LongBeach,0.9394673123486683,0.9510498464618823,0.9661016949152542,0.9730628093531319,-0.027568922305764354,-0.02262234532001416,0.9830508474576272,0.9903439153439154,0.046391752577319596,0.04131651882203213,0.07396067488308394,0.06393886414204629
Switzerland-Hungary,0.8423645320197045,0.8040622642704935,0.9720853858784892,0.9595185124177433,-0.1334459459459458,-0.16201485029771803,1.0,1.0,0.1871345029239765,0.24368477969461244,0.3205804488699223,0.40569962999233045
Switzerland-Cleveland,0.9166666666666667,0.9248076377070547,0.9931972789115646,0.9920168067226891,-0.07705479452054786,-0.06775003060449386,1.0,1.0,0.09090909090909081,0.08130594863962785,0.1679638854296387,0.14905597924412173
LongBeach-Switzerland,0.8769841269841269,0.7813303099017385,0.9484126984126985,0.8820861678004537,-0.07531380753138095,-0.11422450728363343,1.0,1.0,0.14027149321266982,0.2798684337815614,0.21558530074405077,0.3940929410651948
LongBeach-Hungary,0.8423645320197045,0.8040622642704935,0.9638752052545155,0.955374282072075,-0.12606473594548537,-0.15837983148699225,0.9983579638752053,0.9974514732579249,0.18518518518518506,0.24051521577484897,0.3112499211306704,0.3988950472618412
LongBeach-Cleveland,0.9166666666666667,0.9248076377070547,1.0,1.0,-0.08333333333333326,-0.07519236229294535,1.0,1.0,0.09090909090909081,0.08130594863962785,0.1742424242424241,0.15649831093257321
Hungary-Switzerland,0.8769841269841269,0.7813303099017385,0.8253968253968254,0.8297430083144369,0.06249999999999992,-0.05834661808244142,0.9603174603174603,0.940098261526833,0.09502262443438932,0.2032020895811164,0.0325226244343894,0.2615487076635578
Hungary-LongBeach,0.9394673123486683,0.9510498464618823,0.8208232445520579,0.8537634767168516,0.14454277286135725,0.11395002526829273,0.9806295399515739,0.9886621315192745,0.043814432989690705,0.0395481742595494,-0.10072833987166654,-0.07440185100874333
Hungary-Cleveland,0.9166666666666667,0.9248076377070547,0.9013605442176872,0.9021337069630674,0.016981132075471653,0.025133669841820378,1.0,1.0,0.09090909090909081,0.08130594863962785,0.07392795883361916,0.05617227879780748
Cleveland-Switzerland,0.8769841269841269,0.7813303099017385,0.9603174603174603,0.9092970521541951,-0.08677685950413239,-0.14073150457190367,1.0,1.0,0.14027149321266982,0.2798684337815614,0.2270483527168022,0.4205999383534651
Cleveland-LongBeach,0.9394673123486683,0.9510498464618823,0.9636803874092009,0.9790060468631897,-0.025125628140703436,-0.028555697373761096,0.9830508474576272,0.9903439153439154,0.046391752577319596,0.04131651882203213,0.07151738071802304,0.06987221619579323
Cleveland-Hungary,0.8423645320197045,0.8040622642704935,0.9408866995073891,0.9315499975092505,-0.10471204188481663,-0.13685549200754624,1.0,1.0,0.1871345029239765,0.24368477969461244,0.29184654480879313,0.38054027170215865
